age,duration,residence_since,credit_amount,class
35,9,3,1919,good
26,12,4,2445,good
39,24,3,11938,bad
39,18,4,6458,bad
32,12,2,6078,good
30,24,2,7721,good
35,14,2,1410,good
31,6,2,1449,good
23,15,4,392,good
28,18,3,6260,good
25,36,2,7855,bad
35,12,1,1680,good
47,48,1,3578,good
30,42,3,7174,bad
27,10,3,2132,good
23,33,4,4281,bad
36,12,3,2366,good
25,21,2,1835,bad
41,24,2,3868,good
24,12,2,1768,good
63,10,4,781,good
27,18,3,1924,bad
30,12,2,2121,good
40,12,2,701,good
30,12,2,639,bad
34,12,2,1860,good
29,12,2,3499,bad
24,48,2,8487,good
29,36,3,6887,bad
27,15,3,2708,good
47,18,4,1984,good
21,60,4,10144,good
38,12,2,1240,good
27,27,2,8613,good
66,12,3,766,bad
35,15,2,2728,good
44,12,2,1881,good
27,6,2,709,good
30,36,1,4795,good
27,27,2,3416,good
22,18,2,2462,bad
23,21,4,2288,good
30,48,2,3566,good
39,6,4,860,good
51,12,3,682,good
28,36,2,5371,good
46,18,4,1582,good
42,6,4,1346,good
38,10,4,1924,good
24,36,1,5848,good
29,24,4,7758,good
36,24,4,6967,good
20,12,4,1282,bad
48,9,4,1288,good
45,12,1,339,good
38,24,3,3512,good
34,6,2,1898,good
36,24,4,2872,good
30,18,1,1055,good
36,15,3,1262,good
70,10,4,7308,good
36,36,4,909,good
32,6,2,2978,good
33,18,2,1131,bad
20,11,1,1577,good
25,24,4,3972,good
31,24,4,1935,bad
33,15,3,950,bad
26,12,1,763,good
34,24,2,2064,bad
33,8,2,1414,good
26,21,1,3414,bad
53,30,1,7485,bad
42,12,1,2577,good
52,6,4,338,good
31,12,2,1963,good
65,21,4,571,good
28,36,1,9572,bad
30,36,2,4455,bad
40,21,2,1647,bad
50,24,4,3777,good
36,18,4,884,bad
31,15,2,1360,good
74,9,4,5129,bad
68,16,3,1175,good
20,12,1,674,bad
33,18,4,3244,good
54,24,3,4591,bad
34,48,4,3844,bad
36,27,2,3915,bad
29,6,2,2108,good
21,45,4,3031,bad
34,9,3,1501,bad
28,6,1,1382,good
27,12,4,951,bad
36,24,4,2760,good
40,18,3,4297,bad
52,9,2,936,good
27,12,3,1168,good
26,27,4,5117,good
21,12,4,902,bad
38,12,1,1495,good
38,30,4,10623,good
43,12,4,1935,good
26,12,3,1424,good
21,24,2,6568,good
55,12,2,1413,good
33,9,2,3074,good
45,36,4,3835,good
50,27,4,5293,bad
66,30,4,1908,bad
51,36,2,3342,good
39,6,3,932,good
31,18,1,3104,good
23,36,2,3913,good
24,24,2,3021,good
64,10,4,1364,good
26,12,1,625,good
23,12,4,1200,good
30,12,2,707,good
32,24,4,2978,good
30,15,2,4657,good
27,36,2,2613,good
27,48,2,10961,bad
53,12,4,7865,bad
22,9,2,1478,bad
22,24,1,3149,good
26,36,2,4210,bad
51,9,4,2507,good
35,12,1,2141,good
25,18,2,866,good
42,4,1,1544,good
30,24,2,1823,bad
23,6,2,14555,bad
61,21,2,2767,bad
35,12,2,1291,good
39,30,3,2522,good
29,24,2,915,bad
51,6,2,1595,good
24,48,4,4605,bad
27,12,2,1185,good
35,12,3,3447,good
25,24,1,1258,good
52,12,4,717,good
35,6,1,1204,good
26,24,2,1925,good
22,18,4,433,bad
39,6,4,666,good
46,12,2,2251,good
24,30,2,2150,bad
35,24,3,4151,good
24,9,1,2030,good
27,60,1,7418,good
35,24,2,2684,good
29,12,1,2149,bad
23,15,4,3812,good
57,11,4,1154,good
27,12,2,1657,good
55,24,4,1603,good
36,18,4,5302,good
57,12,4,2748,good
32,10,4,1231,good
37,15,3,802,bad
36,36,4,6304,good
38,24,3,1533,good
45,14,4,8978,bad
25,24,2,999,good
32,18,3,2662,good
37,12,4,1402,good
36,48,4,12169,good
28,48,4,3060,bad
34,30,1,11998,bad
32,9,2,2697,good
26,18,2,2404,good
49,12,4,1262,good
32,6,4,4611,bad
29,24,4,1901,good
23,15,4,3368,good
50,12,2,1574,good
49,18,4,1445,good
63,15,4,1520,good
37,24,2,3878,good
35,47,1,10722,good
26,48,3,4788,good
31,48,4,7582,good
49,12,4,1092,good
48,24,4,1024,bad
26,12,2,1076,good
28,36,4,9398,bad
44,24,4,6419,good
56,42,4,4796,good
46,48,2,7629,good
26,48,2,9960,bad
20,12,4,4675,good
45,10,2,1287,good
43,18,4,2515,good
32,21,2,2745,good
54,6,4,672,good
42,36,1,3804,bad
37,24,2,1344,bad
49,10,3,1038,good
44,48,2,10127,bad
33,6,2,1543,good
24,30,4,4811,good
33,12,3,727,bad
24,8,4,1237,bad
22,9,4,276,good
40,48,4,5381,good
25,24,1,5511,good
26,24,4,3749,good
25,12,3,685,bad
29,4,2,1494,good
31,36,4,2746,bad
38,12,3,708,good
48,24,4,4351,good
32,12,2,701,good
27,15,4,3643,good
28,30,2,4249,bad
32,24,3,1938,bad
34,24,1,2910,good
28,18,2,2659,good
36,18,3,1028,good
39,8,4,3398,good
49,12,4,5801,good
34,24,3,1525,good
31,36,2,4473,good
28,6,4,1068,good
75,24,4,6615,good
30,18,2,1864,bad
24,60,2,7408,bad
24,48,4,11590,bad
23,24,4,4110,bad
44,6,4,3384,bad
23,13,4,2101,good
24,15,2,1275,bad
28,24,4,4169,good
31,10,2,1521,good
24,24,4,5743,good
26,21,4,3599,good
25,18,3,3213,good
33,18,1,4439,good
37,10,1,3949,good
43,15,2,1459,good
23,13,4,882,good
23,24,4,3758,good
34,6,2,1743,good
32,9,3,1136,bad
23,9,4,1236,good
29,9,2,959,bad
38,18,4,3229,good
28,12,2,6199,bad
46,10,4,727,good
23,24,2,1246,bad
49,12,4,2331,good
26,36,2,4463,bad
28,12,2,776,good
23,30,4,2406,bad
61,18,4,1239,good
37,12,3,3399,good
36,12,2,2247,good
21,6,2,1766,good
25,18,1,2473,bad
36,12,4,1542,good
27,18,1,3850,good
22,18,4,3650,good
42,36,2,3446,bad
40,18,4,3001,good
36,36,4,3079,good
33,18,4,6070,good
23,10,3,2146,good
63,60,4,13756,good
60,60,4,14782,bad
37,48,4,7685,bad
34,18,3,2320,good
36,7,4,846,good
57,36,2,14318,bad
52,6,4,362,good
39,20,4,2212,good
38,18,4,12976,bad
25,22,4,1283,good
26,12,1,1330,good
26,30,2,4272,good
25,18,1,2238,good
21,18,2,1126,good
40,18,4,7374,good
27,15,4,2326,good
27,9,2,1449,good
30,18,2,1820,good
19,12,4,983,good
39,36,4,3249,good
31,6,4,1957,good
31,9,3,2406,good
32,39,3,11760,good
55,12,4,2578,good
46,36,2,2348,good
46,12,1,1223,bad
43,24,1,1516,good
39,18,4,1473,good
28,18,4,1887,good
27,24,2,8648,bad
27,14,2,802,good
43,18,4,2899,good
22,24,1,2039,bad
43,24,4,2197,good
27,15,2,1053,good
26,24,2,3235,good
28,12,2,939,bad
20,24,4,1967,good
35,33,2,7253,good
42,12,2,2292,bad
40,10,2,1597,good
35,24,2,1381,bad
35,36,2,5842,good
33,12,1,2579,bad
23,18,2,8471,good
31,21,2,2782,good
33,18,2,1042,bad
20,15,3,3186,good
30,12,2,2028,good
47,12,3,958,good
34,21,3,1591,good
25,12,2,2762,bad
21,18,3,2779,good
29,28,2,2743,good
46,18,3,1149,good
20,9,4,1313,good
55,18,4,1190,bad
74,5,4,3448,good
29,24,3,11328,bad
36,6,4,1872,good
33,24,2,2058,good
25,9,2,2136,good
25,12,1,1484,bad
23,6,4,660,good
37,24,4,1287,good
65,42,4,3394,good
26,12,1,609,bad
39,12,4,1884,good
30,12,3,1620,good
29,20,3,2629,good
41,12,4,719,bad
30,48,3,5096,bad
41,9,4,1244,good
34,36,4,1842,bad
35,7,2,2576,good
55,12,4,1424,good
61,15,3,1512,bad
30,36,2,11054,good
29,6,1,518,good
34,12,4,2759,good
35,24,4,2670,good
31,24,3,4817,bad
29,24,1,2679,good
36,11,2,3905,good
35,12,4,3386,bad
27,6,1,343,good
32,18,2,4594,good
37,36,2,3620,good
36,15,3,1721,good
34,12,1,3017,good
38,12,4,754,good
34,18,1,1950,good
63,24,4,2924,good
29,24,2,1659,bad
32,48,3,7238,good
26,33,2,2764,good
35,24,3,4679,good
22,24,2,3092,bad
23,6,4,448,bad
28,9,3,654,bad
36,6,4,1238,good
33,18,2,1245,bad
26,18,4,3114,bad
24,39,4,2569,good
25,24,2,5152,good
39,12,4,1037,good
44,15,4,1478,good
23,12,1,3573,good
26,24,1,1201,good
57,30,4,3622,good
30,15,2,960,good
44,12,4,1163,good
47,6,4,1209,bad
52,12,4,3077,good
62,24,4,3757,good
35,10,2,1418,good
26,6,3,3518,good
26,12,2,1934,good
42,27,4,8318,bad
27,6,1,1237,good
38,6,4,368,good
39,12,2,2122,good
20,24,4,2996,bad
29,36,1,9034,bad
40,24,3,1585,good
32,18,2,1301,good
28,6,4,1323,good
27,24,1,3123,bad
42,36,4,5493,good
49,9,4,1126,good
38,24,4,1216,bad
24,24,4,1207,bad
27,10,4,1309,bad
36,15,2,2360,good
34,15,2,6850,bad
28,24,2,1413,good
45,39,2,8588,good
26,12,2,759,bad
32,36,2,4686,good
26,15,4,2687,good
20,12,4,585,good
54,24,1,2255,good
37,6,3,609,good
40,6,4,1361,good
23,36,4,7127,bad
43,6,2,1203,good
36,6,4,700,good
44,24,4,5507,good
24,18,2,3190,bad
53,48,4,7119,bad
23,24,4,3488,good
26,18,4,1113,good
30,26,3,7966,good
31,15,3,1532,good
42,4,1,1503,good
31,36,4,2302,bad
41,6,4,662,good
32,36,1,2273,good
28,15,4,2631,bad
41,12,4,1503,good
26,24,3,1311,good
25,24,2,3105,good
33,21,1,2319,bad
75,6,3,1374,good
37,18,4,3612,good
42,48,4,7763,bad
45,18,1,3049,good
23,12,1,1534,bad
60,24,4,2032,good
31,30,4,6350,bad
34,18,1,2864,bad
61,12,4,1255,good
43,24,2,1333,bad
37,24,4,2022,good
32,24,1,1552,good
24,12,4,626,bad
35,48,1,8858,good
23,12,4,996,good
45,6,4,1750,good
34,48,1,6999,bad
27,12,1,1995,good
67,9,4,1199,good
22,12,1,1331,bad
28,18,3,2278,bad
29,21,4,5003,bad
27,24,4,3552,bad
31,18,2,1928,bad
49,24,4,2964,good
24,24,4,1546,bad
29,6,1,683,good
37,36,4,12389,bad
37,24,2,4712,good
23,24,2,1553,good
36,12,3,1372,bad
34,24,2,2578,good
41,48,1,3979,good
31,48,2,6758,bad
23,24,4,3234,bad
38,30,2,5954,good
26,24,4,5433,good
22,15,4,806,good
27,9,4,1082,good
24,15,3,2788,good
27,12,1,2930,good
33,24,2,1927,good
27,36,4,2820,bad
27,24,3,937,good
30,18,3,1056,bad
49,12,3,3124,good
26,9,2,1388,good
33,36,1,2384,bad
52,12,4,2133,good
20,18,4,2039,bad
36,9,2,2799,good
21,12,1,1289,good
47,18,3,1217,bad
60,12,3,2246,bad
58,12,3,385,good
42,24,4,1965,good
36,21,4,1572,good
20,24,4,2718,bad
40,24,3,1358,bad
32,6,1,931,bad
23,24,4,1442,bad
36,24,4,4241,bad
31,18,2,2775,bad
32,24,2,3863,good
45,7,1,2329,good
30,9,1,918,bad
34,24,4,1837,bad
28,36,2,3349,bad
23,10,2,1275,good
22,24,4,2828,good
74,24,2,4526,good
50,36,4,2671,bad
33,18,1,2051,good
45,15,4,1300,good
22,12,3,741,bad
48,10,4,1240,bad
29,21,2,3357,good
22,24,4,3632,good
22,18,1,1808,bad
48,48,2,12204,good
27,60,2,9157,good
37,6,3,3676,good
21,30,4,3441,bad
49,12,2,640,good
27,21,3,3652,good
32,18,2,1530,bad
38,48,2,3914,bad
22,12,1,1858,good
65,18,4,2600,bad
35,15,2,1979,good
41,6,2,2116,good
29,9,3,1437,bad
36,42,4,4042,good
64,9,4,3832,good
28,24,4,3660,good
44,18,3,1553,bad
23,15,1,1444,good
19,9,2,1980,bad
25,24,4,1355,bad
47,12,4,1393,good
28,24,1,1376,good
21,60,4,15653,good
34,12,3,1493,good
26,42,2,4370,bad
27,18,1,750,bad
38,15,4,1308,good
40,15,2,4623,bad
33,24,2,1851,good
32,18,1,1880,good
27,36,4,7980,bad
32,30,2,4583,good
26,12,2,1386,bad
38,24,3,947,bad
40,12,4,684,bad
50,48,1,7476,good
37,12,2,1922,bad
45,24,1,2303,bad
42,36,4,8086,bad
35,24,3,2346,good
22,14,4,3973,good
41,12,4,888,bad
37,48,3,10222,good
28,30,1,4221,good
41,18,1,6361,good
23,12,4,1297,good
23,12,2,900,bad
50,21,2,2241,good
35,6,1,1050,good
50,6,4,1047,good
27,24,2,6314,good
34,30,2,3496,good
27,48,1,3609,good
43,12,4,4843,bad
47,30,4,3017,good
27,24,3,4139,good
31,36,2,5742,good
42,60,4,10366,good
24,6,2,2080,good
41,21,2,2580,bad
26,30,4,4530,good
33,24,4,5150,good
24,72,2,5595,bad
64,24,4,2384,good
26,18,1,1453,good
56,6,2,1538,good
37,12,4,2279,good
33,15,3,1478,good
47,24,3,5103,good
31,36,3,9857,good
34,60,4,6527,good
27,10,2,1347,good
30,36,3,2862,good
35,9,4,2753,good
31,12,3,3651,good
25,15,3,975,good
25,15,2,2631,good
29,24,1,2896,good
44,6,3,4716,good
28,24,2,2284,good
50,6,4,1236,good
29,12,3,1103,good
38,12,2,926,good
24,18,2,1800,good
40,15,4,1905,good
29,12,4,1123,bad
46,48,4,6331,bad
47,24,2,1377,good
41,30,2,2503,good
32,27,1,2528,good
35,15,4,5324,good
24,48,2,6560,bad
25,12,3,2969,bad
25,9,4,1206,good
37,9,2,2118,good
32,18,3,629,good
35,6,4,1198,bad
46,21,4,2476,good
25,9,4,1138,good
27,60,2,14027,bad
63,30,4,7596,good
40,30,2,3077,good
32,18,2,1505,good
31,24,2,3148,good
31,20,4,6148,good
34,9,2,1337,bad
24,6,2,433,bad
24,12,2,1228,bad
66,9,3,790,good
21,27,3,2570,bad
41,6,2,250,good
47,15,2,1316,good
25,18,4,1882,bad
59,48,3,6416,bad
36,24,4,1275,good
33,24,2,6403,good
21,24,4,1987,bad
44,8,2,760,good
28,24,4,2603,good
37,4,1,3380,good
29,36,2,3990,good
23,24,4,11560,bad
35,18,4,4380,good
45,6,3,6761,good
26,30,4,4280,bad
32,24,3,2325,good
23,10,4,1048,good
41,21,3,3160,good
22,24,4,2483,good
30,39,4,14179,good
28,13,1,1797,good
23,15,4,2511,good
37,12,1,1274,bad
26,21,3,5248,good
33,15,2,3029,good
49,6,1,428,good
23,18,2,976,bad
23,12,4,841,good
25,30,2,5771,good
55,12,4,1555,bad
32,24,4,1285,bad
74,6,1,1299,good
39,15,4,1271,bad
31,24,2,1393,good
35,12,3,691,bad
59,15,4,5045,good
24,18,4,2124,bad
24,12,3,2214,good
30,21,4,12680,bad
27,24,3,2463,good
40,12,3,1155,good
31,30,4,3108,bad
31,10,4,2901,good
28,12,4,3617,good
63,12,4,1655,good
26,24,4,2812,good
25,36,2,8065,bad
36,21,4,3275,good
52,24,4,2223,good
66,12,4,1480,good
25,24,4,1371,bad
37,36,4,3535,good
25,18,1,3509,good
38,36,2,5711,good
67,18,4,3872,good
25,39,2,4933,bad
60,24,4,1940,good
31,12,2,1410,good
23,12,2,836,bad
60,20,4,6468,good
35,18,2,1941,good
40,22,4,2675,good
38,48,3,2751,good
50,48,4,6224,bad
27,40,3,5998,bad
39,21,4,1188,bad
41,24,4,6313,good
27,6,2,1221,good
51,24,4,2892,good
32,24,3,3062,good
22,9,4,2301,good
51,18,4,7511,bad
22,12,4,1258,good
54,24,4,717,good
35,9,2,1549,good
54,24,4,1597,good
48,18,4,1795,good
24,20,4,4272,good
35,12,4,976,good
24,12,2,7472,good
24,36,1,9271,bad
26,6,3,590,good
65,12,4,930,good
55,42,2,9283,good
26,15,1,1778,bad
26,8,2,907,good
28,6,3,484,good
24,36,4,9629,bad
54,48,4,3051,bad
46,48,4,3931,bad
54,36,2,7432,good
62,6,4,1338,good
24,6,2,1554,good
43,36,3,15857,good
26,18,3,1345,bad
27,12,2,1101,good
24,12,1,3016,good
41,36,2,2712,bad
47,8,4,731,good
35,18,2,3780,good
30,21,3,1602,good
33,18,4,3966,bad
36,18,2,4165,bad
47,36,4,8335,bad
38,48,4,6681,good
44,24,2,2375,good
23,18,3,1216,bad
29,45,4,11816,bad
42,24,4,5084,good
25,15,3,2327,bad
48,12,4,1082,bad
21,12,2,886,good
23,4,3,601,good
63,24,4,2957,good
46,24,3,2611,good
29,36,2,5179,bad
28,21,2,2993,good
23,18,4,1943,bad
50,24,4,1559,good
47,18,4,3422,good
35,21,3,3976,good
68,18,4,6761,bad
28,24,2,1249,good
59,9,4,1364,good
57,12,4,709,bad
33,20,2,2235,bad
43,24,4,4042,good
35,15,4,1471,good
32,18,4,1442,bad
45,36,2,10875,good
33,24,3,1474,good
40,10,3,894,good
28,15,2,3343,good
29,15,2,3959,bad
26,9,2,3577,good
27,24,2,5804,good
28,18,2,2169,bad
35,24,4,2439,bad
32,27,2,4526,good
25,10,2,2210,bad
20,15,4,2221,good
27,18,1,2389,good
42,12,4,3331,good
37,36,2,7409,good
24,12,4,652,good
40,36,4,7678,good
46,6,4,1343,good
26,24,1,1382,good
24,15,1,874,good
29,12,2,3590,good
40,11,4,1322,good
36,18,4,1940,good
28,36,2,3595,good
27,9,2,1422,bad
36,30,3,6742,good
38,24,3,7814,good
48,24,4,9277,good
36,30,4,2181,good
65,18,4,1098,good
43,24,3,4057,bad
53,12,4,795,bad
34,24,3,2825,good
23,48,2,15672,bad
34,36,4,6614,good
40,28,4,7824,good
43,27,4,2442,good
46,15,4,1829,good
38,12,4,2171,good
34,36,4,5800,good
29,18,3,1169,good
31,36,2,8947,good
28,21,4,2606,good
35,12,2,1592,good
33,15,4,2186,good
42,18,3,4153,bad
43,16,4,2625,bad
44,20,4,3485,good
42,36,4,10477,good
40,15,2,1386,good
36,24,1,1278,good
20,12,2,1107,good
24,21,2,3763,good
27,36,2,3711,good
46,15,2,3594,good
33,9,2,3195,good
34,36,4,4454,good
25,24,4,4736,bad
25,30,4,2991,good
28,11,2,2142,good
31,24,2,3161,bad
32,48,2,18424,bad
32,10,2,2848,good
68,6,4,14896,bad
33,24,1,2359,bad
39,24,2,3345,bad
28,18,2,1817,good
37,48,1,12749,good
22,9,4,1366,bad
30,12,4,2002,good
55,24,1,6872,bad
46,12,2,697,bad
21,18,4,1049,good
39,48,4,10297,bad
58,30,4,1867,good
43,12,2,1344,good
24,24,1,1747,good
22,9,2,1670,bad
30,9,1,1224,good
42,12,4,522,good
23,12,1,1498,good
30,30,3,1919,bad
28,9,2,745,bad
30,6,3,2063,good
42,60,4,6288,bad
46,24,4,6842,good
45,12,3,3527,good
31,10,2,1546,good
31,24,2,929,good
42,4,1,1455,good
46,15,1,1845,good
30,48,1,8358,good
30,24,4,3349,bad
38,12,4,2859,good
43,18,1,1533,bad
31,24,4,3621,bad
40,18,3,3590,good
24,36,1,2145,bad
28,24,4,4113,bad
26,36,2,10974,bad
29,12,4,1893,good
57,24,4,1231,good
49,30,4,3656,good
37,9,4,1154,good
45,28,2,4006,bad
30,24,4,3069,good
30,6,2,1740,good
47,21,4,2353,good
29,15,2,3556,good
35,24,2,2397,bad
22,6,1,454,good
26,30,1,1715,good
23,27,2,2520,bad
54,15,2,3568,good
29,42,4,7166,good
40,11,2,3939,good
22,15,2,1514,good
43,24,4,7393,good
29,24,4,1193,bad
36,60,4,7297,bad
33,30,2,2831,good
57,24,3,1258,good
64,6,3,753,good
42,18,2,2427,good
47,24,4,2538,bad
25,15,2,1264,bad
49,30,2,8386,bad
33,48,2,4844,bad
28,21,1,2923,good
26,36,2,8229,bad
30,24,2,2028,good
25,15,3,1433,good
33,42,1,6289,good
64,13,4,1409,good
29,24,2,6579,good
48,24,2,1743,good
37,12,1,3565,good
34,15,4,1569,good
23,18,4,1936,good
30,36,3,3959,good
50,12,3,2390,good
31,12,4,1736,good
40,30,4,3857,good
38,12,4,804,good
23,45,4,1845,bad
27,45,4,4576,good
